s11,s22,s33,s12,s13,s23,Type
0.187610725253759,0.6485558177995039,0.3954621704110505,-0.28016113857559355,-0.412755366699952,-0.0023023528431721633,v
-0.3495580593683111,-0.36974135088159144,-0.1446102009773224,-0.05628339038309355,-0.2777023549286223,-0.4108821812466088,v
-0.0005165015843929377,0.0010758344397886058,0.005071062526112177,-0.0021799742151227975,-0.0002158379542052419,0.0016270234045337043,v
-0.0034099750672031805,0.003134889274735757,0.0016091939956061115,-0.0009802716766304682,0.0011650400587009484,0.002778688893127757,v
0.07360797936151303,0.4819648558192242,0.8959656352735538,0.18261408996658338,-0.042705034875053595,-0.4624623778719986,v
0.004262411182035505,0.0002898982175127214,-0.002120939753817784,-0.0003621693034731586,-0.0036646006910297903,-0.0006740027596967273,v
0.0010799537829409914,0.0033680278212689205,-0.006270210558806886,-0.0003475713244801113,-0.002559554618134852,-0.0018281971944417578,v
-0.048997033485186844,-0.14180087368998923,-0.10980726736805467,-0.22442882567843842,-0.4451107025523994,-0.0387616342138345,v
-0.0017769015245365184,0.00597924685805762,-0.005289904651507149,-0.001685640160825608,-0.003316420639825911,-0.004390669401837713,v
-0.004349779142569439,-0.003178984956315991,0.0008261126002873891,-0.003702545659112702,-0.002093682650126472,0.0013755310551410267,v
-0.001608027293085205,0.0015567591656335483,0.0027734275376042187,0.0029122545103395874,-0.006729195514568591,0.0030719673248267593,v
-0.3113598582615583,-0.18719906474198017,-0.41731712223486206,-0.38409674135803906,0.31260713275930724,0.13224999928915165,v
-0.0003120590286310122,0.0008264332552485766,-0.0036471910962992834,0.005125866647508018,-0.0031806940684123795,0.0026732606389343353,v
-0.0013629368403041927,0.0011567322294917396,-0.004736129062434499,0.003354552313200508,5.301111949629485e-05,0.002271538129383562,v
-0.0017501617887949556,-0.006235374226748298,0.0008836970540995778,-0.0005964948801392829,0.0035324252844386025,-0.005465564194035731,v
0.005833096582896846,0.00015013182144422735,-0.002110580225009777,0.002275971439714576,0.0007171466607706381,6.90214005224701e-05,v
0.0003151311994787675,0.0005985304552679576,-0.003418243604433234,0.002587513050533516,-0.0018745558931115448,0.005325822512297436,v
0.004246229734192489,-0.0034032803603163365,0.002179492909824819,0.004166786360736372,-0.0042901105419853695,-0.004835100850140688,v
0.08798792713585855,0.19179868154851798,0.2580267207028772,-0.04154617213016042,0.35417093498074587,-0.35234079627554954,v
-0.26221911847608964,-0.05843401027344942,-0.07905593662587626,-0.4364954140594311,0.1796458299484948,0.20302703445333858,v
-0.4354694839323839,-0.01210515310392536,-0.09071475632531144,-0.03935424132027732,0.4052422846769106,0.2889970447941725,v
